src,ref
"Then, drag your text, images, and files over to your PC","Sleep vervolgens je tekst, afbeeldingen en bestanden naar je pc"
Connected to {1} via Bluetooth,Verbonden met {1} via Bluetooth
App lock: Locked,App-vergrendeling: Vergrendeld
Sound settings updated,Geluidsinstellingen bijgewerkt
Allow once,Eén keer toestaan
Search for apps directly from the app tray.,Zoek direct vanuit het appoverzicht naar apps.
Device compliance check in progress.,Controle op apparaatcompatibiliteit wordt uitgevoerd.
Battery saver mode: Off,Batterijbesparing: Uit
Leave behind common radios and transform your team smartphones into true walkie-talkies (PTT) with powerful messenger and communication features.,Laat standaardportofoons achterwege en transformeer de smartphones van je team in echte walkietalkies (PTT) met krachtige bericht- en communcatiefuncties.
Audio output: Phone speaker,Audio-uitvoer: telefoonspeaker
"When the screen times out, your device will lock automatically to protect your data.","Wanneer de schermtime-out optreedt, wordt je apparaat automatisch vergrendeld om je gegevens te beschermen."
Face unlock requires a backup PIN verification periodically.,Gezichtsontgrendeling vereist periodiek een verificatie met een reservepincode.
30W TurboPower™ charging support*sold separately5W wireless charging support*sold separately,Ondersteuning voor TurboPower™ laden met 30 W{1}*apart verkocht{2}Ondersteuning voor draadloos opladen met 5 W{3}*apart verkocht
"Swipe up, down, left, or right to scroll through the screen","Naar boven, beneden, links of rechts vegen om door het scherm te bladeren"
"Connect a USB-C dock for HDMI, USB, and Ethernet ports.","Sluit een USB-C-dock aan voor HDMI-, USB- en Ethernet-poorten."
Close,Sluiten
Google Play Protect active,Google Play Protect actief
Optimized charging active,Geoptimaliseerd opladen actief
Last checked: {1} days ago,Laatst gecontroleerd: {1} dagen geleden
Remove Weather from home screen,Weer verwijderen van het startscherm
Charging slowly: Check your cable,Langzaam opladen: controleer je kabel
Network signal lost,Netwerksignaal verloren
Capture every detail with the 108MP main camera.,Leg elk detail vast met de 108MP-hoofdcamera.
Ready For: Connect to PC,Ready For: verbinden met pc
Voice and video components of a call may be billed separately by your carrier.,Spraak- en videocomponenten van een gesprek kunnen afzonderlijk worden gefactureerd door je provider.
Long press to edit icons,Houd lang ingedrukt om pictogrammen te bewerken
